Gàidhlig,English
Pàirt,part
Eachdraidh,history
Rannsaich,search
a-mhàin,only
Poileas,police
smaoineachadh,thought
cuideachadh,help
Iarrtas,request
seòrsa,kind
mìos,month
bràthair,brother
leig,let
air sgàth,because
a chuir,to put
chan eil,no
leash,leash
iad,them
Cathair-bhaile,city
gach fear,each
bruidhinn,speak
thig,come
bu chòir,should
Leanabh,baby
Ùine mhòr,long time
uairean,hours
bidh,will
Fhad 's a,while
Coinnich a-rithist,meet again
gin,any
ceàrnag,square
bruidhinn,speak
air a thuigsinn,understood
bha fios aca,knew
bha,were
Rabhadh,Warning
Seo,here is
b 'urrainn,could
cùis,case
thoir seachad,give
Seòrsa,type
an cuid,their
air a thoirt seachad,given
Trèana,train
bodhaig,body
Àite,place
sùilean,eyes
slighe,way
Èist,listen
Cò,whose
Lorg,find
a’ chiad,first
air chall,lost
làmh,hand
a’ chiad,first
taobh,side
Cumhachd,power
seann,old
bi,be
madainn,morning
Na h-uimhir,so much
leanabh,child
Puing,point
thàinig,came
Às deidh,after
duilich,sorry
thig,come
air beulaibh,in front of
a dh 'ionnsaigh,towards
mionaidean,minutes
Iarrtas,request
Seòmar-cadail,bedroom
air a chuir,placed
bòidheach,beautiful
bu mhath leotha,would like to
an-diugh,today
cèile,husband
adhbhar,cause
Mu dheireadh,finally
dòchas,hope
uisge,water
Feitheamh,Wait
clì,left
Ùr,new
Iob,job
Stad,Stop
a chanadh,would say
Talamh,Earth
cunntas,account
air a thoirt seachad,given
fada,far
deireadh,end
creidsinn,believe
leannan,sweetheart
mòr,large
An àite sin,rather
bidh,will have
Nigheanan,girls
a chluich,to play
Oifis,office
